SAMPLE_ID	mutations	structural_variants
aml_ohsu_2018_15-00615	WXS	WXS
aml_ohsu_2018_15-00616	WXS	WXS
aml_ohsu_2018_15-00626	WXS	WXS
aml_ohsu_2018_15-00633	WXS	WXS
aml_ohsu_2018_15-00650	WXS	WXS
aml_ohsu_2018_15-00653	WXS	WXS
aml_ohsu_2018_15-00655	WXS	WXS
aml_ohsu_2018_15-00670	WXS	WXS
aml_ohsu_2018_15-00674	WXS	WXS
aml_ohsu_2018_15-00680	WXS	WXS
aml_ohsu_2018_15-00682	WXS	WXS
aml_ohsu_2018_15-00688	WXS	WXS
aml_ohsu_2018_15-00692	WXS	WXS
aml_ohsu_2018_15-00693	WXS	WXS
aml_ohsu_2018_15-00701	WXS	WXS
aml_ohsu_2018_15-00702	WXS	WXS
aml_ohsu_2018_15-00704	WXS	WXS
aml_ohsu_2018_15-00717	WXS	WXS
aml_ohsu_2018_15-00724	WXS	WXS
aml_ohsu_2018_15-00726	WXS	WXS
aml_ohsu_2018_15-00731	WXS	WXS
aml_ohsu_2018_15-00734	WXS	WXS
aml_ohsu_2018_15-00742	WXS	WXS
aml_ohsu_2018_15-00755	WXS	WXS
aml_ohsu_2018_15-00756	WXS	WXS
aml_ohsu_2018_15-00763	WXS	WXS
aml_ohsu_2018_15-00764	WXS	WXS
aml_ohsu_2018_15-00766	WXS	WXS
aml_ohsu_2018_15-00767	WXS	WXS
aml_ohsu_2018_15-00777	WXS	WXS
aml_ohsu_2018_15-00778	WXS	WXS
aml_ohsu_2018_15-00782	WXS	WXS
aml_ohsu_2018_15-00786	WXS	WXS
aml_ohsu_2018_15-00805	WXS	WXS
aml_ohsu_2018_15-00807	WXS	WXS
aml_ohsu_2018_15-00811	WXS	WXS
aml_ohsu_2018_15-00813	WXS	WXS
aml_ohsu_2018_15-00819	WXS	WXS
aml_ohsu_2018_15-00821	WXS	WXS
aml_ohsu_2018_15-00829	WXS	WXS
aml_ohsu_2018_15-00837	WXS	WXS
aml_ohsu_2018_15-00839	WXS	WXS
aml_ohsu_2018_15-00850	WXS	WXS
aml_ohsu_2018_15-00855	WXS	WXS
aml_ohsu_2018_15-00858	WXS	WXS
aml_ohsu_2018_15-00864	WXS	WXS
aml_ohsu_2018_15-00870	WXS	WXS
aml_ohsu_2018_15-00872	WXS	WXS
aml_ohsu_2018_15-00874	WXS	WXS
aml_ohsu_2018_15-00883	WXS	WXS
aml_ohsu_2018_15-00892	WXS	WXS
aml_ohsu_2018_15-00895	WXS	WXS
aml_ohsu_2018_15-00898	WXS	WXS
aml_ohsu_2018_15-00900	WXS	WXS
aml_ohsu_2018_15-00903	WXS	WXS
aml_ohsu_2018_15-00909	WXS	WXS
aml_ohsu_2018_15-00912	WXS	WXS
aml_ohsu_2018_15-00929	WXS	WXS
aml_ohsu_2018_15-00936	WXS	WXS
aml_ohsu_2018_15-00939	WXS	WXS
aml_ohsu_2018_15-00942	WXS	WXS
aml_ohsu_2018_15-00947	WXS	WXS
aml_ohsu_2018_15-00961	WXS	WXS
aml_ohsu_2018_15-00964	WXS	WXS
aml_ohsu_2018_15-00965	WXS	WXS
aml_ohsu_2018_15-00967	WXS	WXS
aml_ohsu_2018_15-00974	WXS	WXS
aml_ohsu_2018_15-00975	WXS	WXS
aml_ohsu_2018_15-00976	WXS	WXS
aml_ohsu_2018_15-00981	WXS	WXS
aml_ohsu_2018_15-00988	WXS	WXS
aml_ohsu_2018_15-00990	WXS	WXS
aml_ohsu_2018_16-00001	WXS	WXS
aml_ohsu_2018_16-00003	WXS	WXS
aml_ohsu_2018_16-00004	WXS	WXS
aml_ohsu_2018_16-00006	WXS	WXS
aml_ohsu_2018_16-00007	WXS	WXS
aml_ohsu_2018_16-00015	WXS	WXS
aml_ohsu_2018_16-00017	WXS	WXS
aml_ohsu_2018_16-00026	WXS	WXS
aml_ohsu_2018_16-00027	WXS	WXS
aml_ohsu_2018_16-00031	WXS	WXS
aml_ohsu_2018_16-00033	WXS	WXS
aml_ohsu_2018_16-00035	WXS	WXS
aml_ohsu_2018_16-00041	WXS	WXS
aml_ohsu_2018_16-00046	WXS	WXS
aml_ohsu_2018_16-00048	WXS	WXS
aml_ohsu_2018_16-00050	WXS	WXS
aml_ohsu_2018_16-00056	WXS	WXS
aml_ohsu_2018_16-00062	WXS	WXS
aml_ohsu_2018_16-00067	WXS	WXS
aml_ohsu_2018_16-00070	WXS	WXS
aml_ohsu_2018_16-00073	WXS	WXS
aml_ohsu_2018_16-00075	WXS	WXS
aml_ohsu_2018_16-00077	WXS	WXS
aml_ohsu_2018_16-00078	WXS	WXS
aml_ohsu_2018_16-00087	WXS	WXS
aml_ohsu_2018_16-00088	WXS	WXS
aml_ohsu_2018_16-00094	WXS	WXS
aml_ohsu_2018_16-00102	WXS	WXS
aml_ohsu_2018_16-00109	WXS	WXS
aml_ohsu_2018_16-00113	WXS	WXS
aml_ohsu_2018_16-00115	WXS	WXS
aml_ohsu_2018_16-00118	WXS	WXS
aml_ohsu_2018_16-00120	WXS	WXS
aml_ohsu_2018_16-00124	WXS	WXS
aml_ohsu_2018_16-00129	WXS	WXS
aml_ohsu_2018_16-00132	WXS	WXS
aml_ohsu_2018_16-00135	WXS	WXS
aml_ohsu_2018_16-00139	WXS	WXS
aml_ohsu_2018_16-00143	WXS	WXS
aml_ohsu_2018_16-00145	WXS	WXS
aml_ohsu_2018_16-00150	WXS	WXS
aml_ohsu_2018_16-00151	WXS	WXS
aml_ohsu_2018_16-00157	WXS	WXS
aml_ohsu_2018_16-00161	WXS	WXS
aml_ohsu_2018_16-00217	WXS	WXS
aml_ohsu_2018_16-00220	WXS	WXS
aml_ohsu_2018_16-00226	WXS	WXS
aml_ohsu_2018_16-00232	WXS	WXS
aml_ohsu_2018_16-00249	WXS	WXS
aml_ohsu_2018_16-00261	WXS	WXS
aml_ohsu_2018_16-00264	WXS	WXS
aml_ohsu_2018_16-00267	WXS	WXS
aml_ohsu_2018_16-00269	WXS	WXS
aml_ohsu_2018_16-00271	WXS	WXS
aml_ohsu_2018_16-00273	WXS	WXS
aml_ohsu_2018_16-00278	WXS	WXS
aml_ohsu_2018_16-00289	WXS	WXS
aml_ohsu_2018_16-00292	WXS	WXS
aml_ohsu_2018_16-00294	WXS	WXS
aml_ohsu_2018_16-00303	WXS	WXS
aml_ohsu_2018_16-00307	WXS	WXS
aml_ohsu_2018_16-00315	WXS	WXS
aml_ohsu_2018_16-00316	WXS	WXS
aml_ohsu_2018_16-00332	WXS	WXS
aml_ohsu_2018_16-00339	WXS	WXS
aml_ohsu_2018_16-00344	WXS	WXS
aml_ohsu_2018_16-00351	WXS	WXS
aml_ohsu_2018_16-00354	WXS	WXS
aml_ohsu_2018_16-00356	WXS	WXS
aml_ohsu_2018_16-00359	WXS	WXS
aml_ohsu_2018_16-00366	WXS	WXS
aml_ohsu_2018_16-00373	WXS	WXS
aml_ohsu_2018_16-00374	WXS	WXS
aml_ohsu_2018_16-00392	WXS	WXS
aml_ohsu_2018_16-00400	WXS	WXS
aml_ohsu_2018_16-00406	WXS	WXS
aml_ohsu_2018_16-00410	WXS	WXS
aml_ohsu_2018_16-00459	WXS	WXS
aml_ohsu_2018_16-00460	WXS	WXS
aml_ohsu_2018_16-00465	WXS	WXS
aml_ohsu_2018_16-00466	WXS	WXS
aml_ohsu_2018_16-00477	WXS	WXS
aml_ohsu_2018_16-00479	WXS	WXS
aml_ohsu_2018_16-00481	WXS	WXS
aml_ohsu_2018_16-00483	WXS	WXS
aml_ohsu_2018_16-00484	WXS	WXS
aml_ohsu_2018_16-00486	WXS	WXS
aml_ohsu_2018_16-00491	WXS	WXS
aml_ohsu_2018_16-00494	WXS	WXS
aml_ohsu_2018_16-00498	WXS	WXS
aml_ohsu_2018_16-00504	WXS	WXS
aml_ohsu_2018_16-00510	WXS	WXS
aml_ohsu_2018_16-00519	WXS	WXS
aml_ohsu_2018_16-00524	WXS	WXS
aml_ohsu_2018_16-00525	WXS	WXS
aml_ohsu_2018_16-00533	WXS	WXS
aml_ohsu_2018_16-00538	WXS	WXS
aml_ohsu_2018_16-00540	WXS	WXS
aml_ohsu_2018_16-00547	WXS	WXS
aml_ohsu_2018_16-00548	WXS	WXS
aml_ohsu_2018_16-00562	WXS	WXS
aml_ohsu_2018_16-00564	WXS	WXS
aml_ohsu_2018_16-00566	WXS	WXS
aml_ohsu_2018_16-00593	WXS	WXS
aml_ohsu_2018_16-00595	WXS	WXS
aml_ohsu_2018_16-00599	WXS	WXS
aml_ohsu_2018_16-00611	WXS	WXS
aml_ohsu_2018_16-00618	WXS	WXS
aml_ohsu_2018_16-00627	WXS	WXS
aml_ohsu_2018_16-00632	WXS	WXS
aml_ohsu_2018_16-00684	WXS	WXS
aml_ohsu_2018_16-00699	WXS	WXS
aml_ohsu_2018_16-00701	WXS	WXS
aml_ohsu_2018_16-00702	WXS	WXS
aml_ohsu_2018_16-00705	WXS	WXS
aml_ohsu_2018_16-00708	WXS	WXS
aml_ohsu_2018_16-00709	WXS	WXS
